model;train_time;inf_time;train_acc;test_acc;cnt_params
FC_3layer;125.45448994636536;1.3256022930145264;0.9931833333333333;0.9793;235146
SimpleCNN;132.97722339630127;1.723381757736206;0.9962666666666666;0.9919;421642
ResCNN;150.3607189655304;1.6361689567565918;0.9963666666666666;0.9943;160906
