model;params;train_time;inf_time;train_acc;test_acc
CNNWithResidual;160906;162.68015098571777;1.9612488746643066;0.9964333333333333;0.9947
2_conv;1625866;161.6495885848999;1.9580507278442383;0.9972666666666666;0.9901
4_conv;1994890;166.4119942188263;2.082899808883667;0.9972666666666666;0.9912
6_conv;1864330;204.0704207420349;2.0695481300354004;0.9970833333333333;0.9934
