model;params;rf;train_time;inf_time;train_acc;test_acc
1x1_3x3;421386;3;135.56673312187195;1.7348415851593018;0.9922666666666666;0.9862
3x3;421642;5;144.5143985748291;1.8536739349365234;0.99605;0.9937
5x5;454922;9;147.3805696964264;2.0192863941192627;0.9968;0.9914
7x7;504842;13;146.7666938304901;2.001615524291992;0.9958833333333333;0.9872
