model;params;train_time;inf_time;train_acc;test_acc
CNNWithResidual;161482;166.52480936050415;2.230469226837158;0.90474;0.8214
2_conv;2117962;148.74939966201782;1.980679988861084;0.93994;0.6932
4_conv;2486986;170.56842184066772;2.2696785926818848;0.93806;0.7785
6_conv;2094282;207.14287900924683;2.4176652431488037;0.91704;0.7935
