model;params;rf;train_time;inf_time;train_acc;test_acc
1x1_3x3;544330;3;139.67659521102905;2.221165895462036;0.7598;0.6649
3x3;545098;5;137.91860628128052;2.2033512592315674;0.83006;0.7145
5x5;579402;9;145.31649565696716;2.393899917602539;0.832;0.7192
7x7;630858;13;144.96768474578857;1.9937734603881836;0.78024;0.7124
