model;train_time;train_acc;test_acc;cnt_params
CNNWithBottleneck;212.7897720336914;0.9954833333333334;0.9925;226314
CNNWithWide;183.25634050369263;0.9958333333333333;0.9938;308682
CNNWithResidual;162.50407671928406;0.99605;0.9904;160906
